Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2020-01-02,28638.97,28872.8,28627.77,28868.8,,,,
2020-01-03,28553.33,28716.31,28500.36,28634.88,,,,
2020-01-06,28465.5,28708.02,28418.63,28703.38,,,,
2020-01-07,28639.18,28685.5,28565.28,28583.68,,,,
2020-01-08,28556.14,28866.18,28522.51,28745.09,,,,
2020-01-09,28851.97,28988.01,28844.31,28956.9,,,,
2020-01-10,28977.52,29009.07,28789.1,28823.77,,,,
2020-01-13,28869.01,28909.91,28819.43,28907.05,,,,
2020-01-14,28895.5,29054.16,28872.27,28939.67,,,,
2020-01-15,28901.8,29127.59,28897.35,29030.22,,,,
2020-01-16,29131.95,29300.32,29131.95,29297.64,,,,
2020-01-17,29313.31,29373.62,29289.91,29348.1,,,,
2020-01-21,29269.05,29341.21,29146.47,29196.04,,,,
2020-01-22,29263.63,29320.2,29172.26,29186.27,,,,
2020-01-23,29111.02,29190.47,28966.98,29160.09,,,,
2020-01-24,29230.39,29288.79,28843.31,28989.73,,,,
2020-01-27,28542.49,28671.79,28440.47,28535.8,,,,
2020-01-28,28594.28,28823.23,28575.75,28722.85,,,,
2020-01-29,28820.53,28944.24,28728.19,28734.45,,,,
2020-01-30,28640.16,28879.71,28489.76,28859.44,,,,
2020-01-31,28813.04,28813.04,28169.53,28256.03,,,,
2020-02-03,28319.65,28630.39,28319.65,28399.81,,,,
2020-02-04,28696.74,28904.88,28696.74,28807.63,,,,
2020-02-05,29048.73,29308.89,29000.85,29290.85,,,,
2020-02-06,29388.58,29408.05,29246.93,29379.77,,,,
2020-02-07,29286.92,29286.92,29056.98,29102.51,,,,
2020-02-10,28995.66,29278.07,28995.66,29276.81,,,,
2020-02-11,29390.71,29415.39,29210.47,29276.34,,,,
2020-02-12,29406.75,29568.57,29406.75,29551.42,,,,
2020-02-13,29436.03,29535.4,29345.93,29423.31,,,,
2020-02-14,29440.47,29463.04,29283.18,29398.08,,,,
2020-02-18,29282.78,29330.16,29116.81,29232.19,,,,
2020-02-19,29312.7,29409.09,29274.38,29348.03,,,,
2020-02-20,29296.25,29368.45,28959.65,29219.98,,,,
2020-02-21,29146.53,29146.53,28892.7,28992.41,,,,
2020-02-24,28402.93,28402.93,27912.44,27960.8,,,,
2020-02-25,28037.65,28149.2,26997.62,27081.36,,,,
2020-02-26,27159.46,27542.78,26890.97,26957.59,,,,
2020-02-27,26526,26775.31,25752.82,25766.64,,,,
2020-02-28,25270.83,25494.24,24681.01,25409.36,,,,
2020-03-02,25590.51,26706.17,25391.96,26703.32,,,,
2020-03-03,26762.47,27084.59,25706.28,25917.41,,,,
2020-03-04,26383.68,27102.34,26286.31,27090.86,,,,
2020-03-05,26671.92,26671.92,25943.33,26121.28,,,,
2020-03-06,25457.21,25994.38,25226.62,25864.78,,,,
2020-03-09,24992.36,24992.36,23706.07,23851.02,,,,
2020-03-10,24453,25020.99,23690.34,25018.16,,,,
2020-03-11,24604.63,24604.63,23328.32,23553.22,,,,
2020-03-12,22184.71,22837.95,21154.46,21200.62,,,,
2020-03-13,21973.82,23189.76,21285.37,23185.62,,,,
2020-03-16,20917.53,21768.28,20116.46,20188.52,,,,
2020-03-17,20487.05,21379.35,19882.26,21237.38,,,,
2020-03-18,20188.69,20489.33,18917.46,19898.92,,,,
2020-03-19,19830.01,20442.63,19177.13,20087.19,,,,
2020-03-20,20253.15,20531.26,19094.27,19173.98,,,,
2020-03-23,19028.36,19121.01,18213.65,18591.93,,,,
2020-03-24,19722.19,20737.7,19649.25,20704.91,,,,
2020-03-25,21050.34,22019.93,20538.34,21200.55,,,,
2020-03-26,21468.38,22595.06,21427.1,22552.17,,,,
2020-03-27,21898.47,22327.57,21469.27,21636.78,,,,
2020-03-30,21678.22,22378.09,21522.08,22327.48,,,,
2020-03-31,22208.42,22480.37,21852.08,21917.16,,,,
2020-04-01,21227.38,21487.24,20784.43,20943.51,,,,
2020-04-02,20819.46,21477.77,20735.02,21413.44,,,,
2020-04-03,21285.93,21447.81,20863.09,21052.53,,,,
2020-04-06,21693.63,22783.45,21693.63,22679.99,,,,
2020-04-07,23537.44,23617.24,22634.45,22653.86,,,,
2020-04-08,22893.47,23513.4,22682.99,23433.57,,,,
2020-04-09,23690.66,24008.99,23504.09,23719.37,,,,
2020-04-13,23698.93,23698.93,23095.35,23390.77,,,,
2020-04-14,23690.57,24040.58,23683.44,23949.76,,,,
2020-04-15,23600.72,23649.72,23233.32,23504.35,,,,
2020-04-16,23543.66,23598.08,23211.38,23537.68,,,,
2020-04-17,23817.15,24264.21,23817.15,24242.49,,,,
2020-04-20,24095.1,24108.69,23627.19,23650.44,,,,
2020-04-21,23365.25,23365.25,22941.88,23018.88,,,,
2020-04-22,23437.34,23613.1,23339.6,23475.82,,,,
2020-04-23,23543.09,23885.36,23483.35,23515.26,,,,
2020-04-24,23628.24,23826,23417.68,23775.27,,,,
2020-04-27,23866.15,24207.65,23840.61,24133.78,,,,
2020-04-28,24357.17,24512.24,24031.2,24101.55,,,,
2020-04-29,24490.37,24764.77,24453.99,24633.86,,,,
2020-04-30,24585.57,24585.57,24186.9,24345.72,,,,
2020-05-01,24120.78,24120.78,23645.3,23723.69,,,,
2020-05-04,23581.55,23769.56,23361.16,23749.76,,,,
2020-05-05,23958.88,24169.72,23868.91,23883.09,,,,
2020-05-06,23978.88,24054.59,23661.14,23664.64,,,,
2020-05-07,23837.21,24094.62,23834.39,23875.89,,,,
2020-05-08,24107.82,24349.9,24107.05,24331.32,,,,
2020-05-11,24256.45,24366.21,24070.22,24221.99,,,,
2020-05-12,24292.84,24382.09,23761.58,23764.78,,,,
2020-05-13,23702.16,23708.9,23067.64,23247.97,,,,
2020-05-14,23049.06,23630.86,22789.62,23625.34,,,,
2020-05-15,23454.83,23730.08,23354.15,23685.42,,,,
2020-05-18,24059.98,24708.54,24059.98,24597.37,,,,
2020-05-19,24577.48,24599.5,24202.96,24206.86,,,,
2020-05-20,24455.94,24649.48,24455.94,24575.9,,,,
2020-05-21,24564.27,24718.46,24370.88,24474.12,,,,
2020-05-22,24461.98,24481.64,24294.07,24465.16,,,,
