Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2020-01-02,1875.3,1888.1,1864.9,1887.9,,,,
2020-01-03,1850.8,1869.7,1848.7,1854,,,,
2020-01-06,1825.6,1840.2,1821.9,1834.7,,,,
2020-01-07,1852.7,1875.6,1845.5,1867.3,,,,
2020-01-08,1866.8,1879,1858.5,1867.6,,,,
2020-01-09,1887.2,1891.1,1860.6,1878.7,,,,
2020-01-10,1886.8,1887.9,1862.1,1866.3,,,,
2020-01-13,1879.9,1892.4,1873.7,1890.8,,,,
2020-01-14,1892,1909.1,1884.1,1894.6,,,,
2020-01-15,1889.5,1890.1,1865.9,1872.2,,,,
2020-01-16,1888.7,1903.9,1886.8,1903.9,,,,
2020-01-17,1913.1,1917.6,1902.2,1916.6,,,,
2020-01-22,1930.6,1950.6,1924.9,1930.2,,,,
2020-01-23,1934.4,1945.9,1918.4,1945.4,,,,
2020-01-24,1973.1,1975,1910.2,1924,,,,
2020-01-27,1863.2,1872.9,1846.6,1848.9,,,,
2020-01-28,1871.1,1899.5,1859.9,1893.3,,,,
2020-01-29,1886.8,1890.9,1857.3,1858.7,,,,
2020-01-30,1844.3,1861.8,1820.4,1855.8,,,,
2020-01-31,1840.3,1840.5,1782.2,1789.9,,,,
2020-02-03,1794.7,1814.9,1794.3,1812.2,,,,
2020-02-04,1859.9,1870.2,1849.8,1868.7,,,,
2020-02-05,1907.2,1914,1882.7,1909.5,,,,
2020-02-06,1909.9,1911.6,1887,1909.6,,,,
2020-02-07,1890,1891.2,1863.6,1864.4,,,,
2020-02-10,1850,1893,1850,1892.8,,,,
2020-02-11,1911.3,1940.7,1911.3,1931.1,,,,
2020-02-12,1951.6,1962,1950.1,1958.8,,,,
2020-02-13,1943,1974.6,1942.8,1960.3,,,,
2020-02-14,1978.1,1983.7,1945.7,1956.6,,,,
2020-02-18,1920.2,1932.8,1916.4,1929.1,,,,
2020-02-20,1970.5,1977.2,1919.9,1949.2,,,,
2020-02-21,1936.8,1938.4,1883.9,1891,,,,
2020-02-24,1793.1,1827.9,1788.4,1801.2,,,,
2020-02-25,1824.7,1826.3,1737.3,1746.1,,,,
2020-02-26,1761.5,1787.8,1739,1750,,,,
2020-02-27,1692.6,1731,1664.9,1668.7,,,,
2020-02-28,1605.9,1716.2,1605.9,1705.5,,,,
2020-03-02,1727.6,1766.4,1680.9,1765.4,,,,
2020-03-03,1768.1,1797,1692.1,1705.3,,,,
2020-03-04,1737.3,1789.7,1715.8,1789.6,,,,
2020-03-05,1742.4,1780,1721.5,1734,,,,
2020-03-06,1685.5,1713.3,1657.7,1699.9,,,,
2020-03-09,1560.7,1637.9,1555.5,1558.2,,,,
2020-03-10,1612.7,1656.9,1559.9,1656.5,,,,
2020-03-11,1607.4,1625.4,1545.7,1562.5,,,,
2020-03-12,1444.6,1513.7,1389,1392.1,,,,
2020-03-13,1481.2,1544.8,1392.5,1544.3,,,,
2020-03-16,1433.6,1446.8,1297.1,1298.8,,,,
2020-03-17,1332.9,1434.3,1282.7,1426.5,,,,
2020-03-18,1317.9,1373.9,1234,1286.8,,,,
2020-03-19,1282,1378.3,1253.4,1341.2,,,,
2020-03-20,1375,1409,1296.4,1298.5,,,,
2020-03-23,1315.2,1366.3,1280.8,1342.1,,,,
2020-03-24,1434.1,1492.8,1425.3,1491.8,,,,
2020-03-25,1495.4,1550.8,1448.9,1472.6,,,,
2020-03-26,1499.8,1574.6,1492.8,1572.6,,,,
2020-03-27,1512.8,1541.5,1485.3,1488.8,,,,
2020-03-30,1506.5,1547.1,1496,1545.3,,,,
2020-03-31,1542.9,1568,1499.8,1510.6,,,,
2020-04-01,1455,1498,1414.3,1427.7,,,,
2020-04-02,1416.6,1476.7,1416.6,1474.6,,,,
2020-04-03,1472.2,1487.2,1425.1,1443,,,,
