PubDate,StDate,EnDate,Section,PropSell,PropBuy,PropTot,PropBal,BrkSell,BrkBuy,BrkTot,BrkBal,TotSell,TotBuy,TotTot,TotBal,IndSell,IndBuy,IndTot,IndBal,FrgnSell,FrgnBuy,FrgnTot,FrgnBal,SecCoSell,SecCoBuy,SecCoTot,SecCoBal,InvTrSell,InvTrBuy,InvTrTot,InvTrBal,BusCoSell,BusCoBuy,BusCoTot,BusCoBal,OthCoSell,OthCoBuy,OthCoTot,OthCoBal,InsCoSell,InsCoBuy,InsCoTot,InsCoBal,BankSell,BankBuy,BankTot,BankBal,TrstBnkSell,TrstBnkBuy,TrstBnkTot,TrstBnkBal,OthFinSell,OthFinBuy,OthFinTot,OthFinBal
2023-01-10,2022-12-26,2022-12-30,TSEPrime,1652820951,1425050189,3077871140,-227770762,10093391744,10322372041,20415763785,228980297,11746212695,11747422230,23493634925,1209535,3052344648,3029362471,6081707119,-22982177,6353043649,6530090756,12883134405,177047107,58937931,57062862,116000793,-1875069,262776160,319000156,581776316,56223996,114547420,113706350,228253770,-841070,18317364,47986977,66304341,29669613,26629775,23790297,50420072,-2839478,11457803,9516346,20974149,-1941457,183228468,173272396,356500864,-9956072,12108526,18583430,30691956,6474904
2023-01-13,2023-01-04,2023-01-06,TSEPrime,1108501225,807484169,1915985394,-301017056,7531535298,7812917336,15344452634,281382038,8640036523,8620401505,17260438028,-19635018,1614968563,1841899376,3456867939,226930813,5468958065,5416449764,10885407829,-52508301,36117695,43131303,79248998,7013608,155362433,170380142,325742575,15017709,49431010,188340714,237771724,138909704,16415367,26029375,42444742,9614008,68791370,8988034,77779404,-59803336,8593904,5878782,14472686,-2715122,107754718,103463253,211217971,-4291465,5142173,8356593,13498766,3214420
2023-01-19,2023-01-10,2023-01-13,TSEPrime,1449672901,1323027737,2772700638,-126645164,11331541967,11389138758,22720680725,57596791,12781214868,12712166495,25493381363,-69048373,2442723892,2382517573,4825241465,-60206319,8047603700,8219264329,16266868029,171660629,74436963,74479335,148916298,42372,283518600,261961656,545480256,-21556944,109957128,213178629,323135757,103221501,27568455,31191377,58759832,3622922,34740166,16021268,50761434,-18718898,19426222,10718794,30145016,-8707428,279697264,160658046,440355310,-119039218,11869577,19147751,31017328,7278174
2023-01-26,2023-01-16,2023-01-20,TSEPrime,1690508715,1609067264,3299575979,-81441451,12764440403,12828294336,25592734739,63853933,14454949118,14437361600,28892310718,-17587518,2925407712,2904246019,5829653731,-21161693,8963868592,9068678041,18032546633,104809449,69905144,70647430,140552574,742286,270505371,258987762,529493133,-11517609,128373022,250063111,378436133,121690089,23202612,33616143,56818755,10413531,44101601,36844858,80946459,-7256743,30716454,9583941,40300395,-21132513,295316547,177611186,472927733,-117705361,13043348,18015845,31059193,4972497
2023-02-02,2023-01-23,2023-01-27,TSEPrime,1465993361,1695821807,3161815168,229828446,12631009060,12410981271,25041990331,-220027789,14097002421,14106803078,28203805499,9800657,3428445534,3025665806,6454111340,-402779728,8200977769,8514917793,16715895562,313940024,94689347,82475236,177164583,-12214111,234551045,306494231,541045276,71943186,175852755,211500540,387353295,35647785,28420663,54629441,83050104,26208778,36273777,9691700,45965477,-26582077,31515889,4710471,36226360,-26805418,377341556,185384156,562725712,-191957400,22940725,15511897,38452622,-7428828
2023-02-09,2023-01-30,2023-02-03,TSEPrime,1706196778,1798039364,3504236142,91842586,14676946111,14573766042,29250712153,-103180069,16383142889,16371805406,32754948295,-11337483,3277501962,3354058160,6631560122,76556198,10201606730,10172504933,20374111663,-29101797,89837179,89782313,179619492,-54866,377967915,361763242,739731157,-16204673,153393665,241235481,394629146,87841816,38432723,33108338,71541061,-5324385,46629678,16915399,63545077,-29714279,19480937,9584838,29065775,-9896099,439949437,274010526,713959963,-165938911,32145885,20802812,52948697,-11343073
2023-02-16,2023-02-06,2023-02-10,TSEPrime,1876693663,2021679426,3898373089,144985763,14169185855,14035686510,28204872365,-133499345,16045879518,16057365936,32103245454,11486418,3270999833,3183999478,6454999311,-87000355,9774552796,9972760763,19747313559,198207967,91913303,78489313,170402616,-13423990,343264528,272703465,615967993,-70561063,165127100,258026575,423153675,92899475,47797274,45045780,92843054,-2751494,65466969,14625801,80092770,-50841168,40643787,11217106,51860893,-29426681,356368604,182027898,538396502,-174340706,13051661,16790331,29841992,3738670
2023-02-24,2023-02-13,2023-02-17,TSEPrime,1554524152,1591566464,3146090616,37042312,13344938101,13303477426,26648415527,-41460675,14899462253,14895043890,29794506143,-4418363,3231980208,3171225796,6403206004,-60754412,9007092273,9221912736,18229005009,214820463,92295791,87535279,179831070,-4760512,279667897,249215736,528883633,-30452161,225284848,294216676,519501524,68931828,38732990,30615334,69348324,-8117656,68562574,21642576,90205150,-46919998,36616971,12745930,49362901,-23871041,341146101,192443786,533589887,-148702315,23558448,21923577,45482025,-1634871
2023-03-02,2023-02-20,2023-02-24,TSEPrime,1206235301,1374028501,2580263802,167793200,10492826083,10332503369,20825329452,-160322714,11699061384,11706531870,23405593254,7470486,2467517173,2542404715,5009921888,74887542,7170190273,6948692405,14118882678,-221497868,64096433,64895889,128992322,799456,217085727,259388200,476473927,42302473,155189159,243784756,398973915,88595597,29590321,36941980,66532301,7351659,17764272,20192076,37956348,2427804,26102211,12327063,38429274,-13775148,320785413,190674959,511460372,-130110454,24505101,13201326,37706427,-11303775
2023-03-09,2023-02-27,2023-03-03,TSEPrime,1951882767,2295397006,4247279773,343514239,14502292167,14158008004,28660300171,-344284163,16454174934,16453405010,32907579944,-769924,3168613435,2970543550,6139156985,-198069885,10102424520,9990507472,20092931992,-111917048,87658760,79616414,167275174,-8042346,398776448,379609275,778385723,-19167173,241258766,276490572,517749338,35231806,37647690,43302071,80949761,5654381,76095917,29676917,105772834,-46419000,28576526,82915949,111492475,54339423,334597305,283279169,617876474,-51318136,26642800,22066615,48709415,-4576185
