Date,MABS1AN11,MABS2AN116,MABS2AN117,MABS1AN113
2000-01,721978,566194,41749,114035
2000-02,626865,528835,41270,56760
2000-03,649807,540866,41009,67932
2000-04,658350,554012,41052,63286
2000-05,637448,544058,41183,52207
2000-06,622152,530318,40955,50879
2000-07,637116,542879,40914,53323
2000-08,626193,537489,41439,47265
2000-09,618261,537160,41391,39710
2000-10,627618,548034,41352,38232
2000-11,635571,555209,41465,38897
2000-12,679588,595613,41939,42036
2001-01,681280,589233,42134,49913
2001-02,647866,563757,41773,42336
2001-03,657361,570388,41579,45394
2001-04,667725,575153,41687,50885
2001-05,669654,577040,41857,50757
2001-06,669739,577253,41665,50821
2001-07,687826,595119,41691,51016
2001-08,682731,585255,41834,55642
2001-09,706356,583735,41797,80824
2001-10,717502,590130,41832,85540
2001-11,733778,599689,41996,92093
2001-12,794424,643769,42604,108051
2002-01,840818,648110,42843,149865
2002-02,826163,633389,42446,150328
2002-03,871493,653759,42216,175518
2002-04,910393,668155,42374,199864
2002-05,868229,668968,42649,156612
2002-06,854332,661411,42506,150415
2002-07,860806,668793,42522,149491
2002-08,860881,666929,42653,151299
2002-09,857469,662761,42663,152045
2002-10,859299,664395,42692,152212
2002-11,894000,670184,42876,180940
2002-12,949444,708145,43398,197901
2003-01,953668,708834,43584,201250
2003-02,930274,686170,43246,200858
2003-03,966459,695076,43051,228332
2003-04,1015445,698211,43077,274157
2003-05,1013547,700112,43143,270292
2003-06,1027632,696116,43016,288500
2003-07,1036363,704165,43059,289139
2003-08,1037448,701656,43207,292585
2003-09,1036332,696304,43240,296788
2003-10,1036011,695638,43303,297070
2003-11,1043362,699673,43485,300204
2003-12,1074991,731283,43990,299718
2004-01,1083320,727139,44148,312033
2004-02,1080570,704728,43851,331991
2004-03,1081238,707069,43681,330488
2004-04,1082958,709062,43715,330181
2004-05,1088328,712335,43889,332104
2004-06,1072957,702819,43829,326309
2004-07,1085248,711698,43871,329679
2004-08,1085653,710146,44011,331496
2004-09,1085201,711848,44061,329292
2004-10,1079234,710096,44163,324975
2004-11,1094035,724627,44309,325099
2004-12,1119769,748668,44734,326367
2005-01,1125134,746097,44871,334166
2005-02,1093674,722207,44683,326784
2005-03,1103301,733042,44540,325719
2005-04,1115568,740715,44529,330324
2005-05,1112725,740809,44573,327343
2005-06,1091586,727636,44349,319601
2005-07,1101137,736087,44233,320817
2005-08,1097890,732365,44288,321237
2005-09,1103950,730651,44299,329000
2005-10,1109848,730566,44345,334937
2005-11,1110432,732589,44491,333352
2005-12,1130466,763121,44859,322486
2006-01,1141316,760040,44987,336289
2006-02,1114431,738828,44724,330879
2006-03,1092791,743874,44521,304396
2006-04,1035779,743547,44619,247613
2006-05,941951,745519,44760,151672
2006-06,914229,734456,44600,135173
2006-07,905410,740971,44555,119884
2006-08,875607,740449,44647,90511
2006-09,869660,737148,44658,87854
2006-10,873279,737348,44691,91240
2006-11,862670,739249,44822,78599
2006-12,904664,766969,45143,92552
2007-01,900507,765125,45280,90102
2007-02,879061,748201,45061,85799
2007-03,884022,753603,44902,85517
2007-04,908926,753051,44972,110903
2007-05,887868,753971,45064,88833
2007-06,876336,746596,44914,84826
2007-07,884708,752954,44884,86870
2007-08,881473,749744,44972,86757
2007-09,875728,747946,45002,82780
2007-10,877567,749865,45071,82631
2007-11,871633,751580,45215,74838
2007-12,907835,780036,45575,82224
2008-01,899793,776902,45739,77152
2008-02,879916,756569,45513,77834
2008-03,883867,759282,45363,79222
2008-04,883589,757564,45371,80654
2008-05,879638,759585,45404,74649
2008-06,880155,751914,45281,82960
2008-07,878532,757150,45232,76150
2008-08,879433,756144,45280,78009
2008-09,883741,751178,45301,87262
2008-10,889825,756037,45329,88459
2008-11,888562,759854,45434,83274
2008-12,924351,784262,45770,94319
2009-01,935049,779825,45846,109378
2009-02,936531,761880,45568,129083
2009-03,944658,765414,45308,133936
2009-04,956238,764847,45280,146111
2009-05,949165,768223,45326,135616
2009-06,936392,758829,45181,132382
2009-07,932096,762666,45142,124288
2009-08,933355,759799,45186,128370
2009-09,923942,758706,45240,119996
2009-10,928609,756165,45248,127196
2009-11,922042,757397,45270,119375
2009-12,972143,781778,45462,144903
2010-01,980675,778306,45509,156860
2010-02,956928,762861,45233,148834
2010-03,964571,768243,45041,151287
2010-04,983836,771365,45067,167404
2010-05,984323,772490,45153,166680
2010-06,970240,764129,45032,161079
2010-07,989359,770592,44979,173788
2010-08,983995,768583,45033,170379
2010-09,977173,766008,45037,166128
2010-10,988248,767644,45040,175564
2010-11,991866,770922,45096,175848
2010-12,1040238,797052,45294,197892
2011-01,1034826,794111,45400,195315
2011-02,1010039,781300,45171,183568
2011-03,1127432,796912,45022,285498
2011-04,1218934,799807,45124,374003
2011-05,1144208,794811,45187,304210
2011-06,1134780,785057,45013,304710
2011-07,1137324,791240,44958,301126
2011-08,1140447,789717,45028,305702
2011-09,1140181,788044,45034,307103
2011-10,1156428,787220,45051,324157
2011-11,1184978,789721,45106,350151
2011-12,1180195,815720,45364,319111
2012-01,1189656,812462,45466,331728
2012-02,1124409,798710,45215,280484
2012-03,1124618,804460,45052,275106
2012-04,1215003,806725,45087,363191
2012-05,1171210,807450,45149,318611
2012-06,1202142,802079,45031,355032
2012-07,1235010,809465,45044,380501
2012-08,1214626,808736,45143,360747
2012-09,1243261,806118,45196,391947
2012-10,1281344,807704,45212,428428
2012-11,1244449,810887,45285,388277
2012-12,1319837,838665,45605,435567
2013-01,1319205,838266,45742,435197
2013-02,1293148,823430,45522,424196
2013-03,1347413,828371,45368,473674
2013-04,1495975,831109,45433,619433
2013-05,1541412,832813,45549,663050
2013-06,1635375,828305,45480,761590
2013-07,1703890,834873,45498,823519
2013-08,1724437,835572,45611,843254
2013-09,1817012,833865,45661,937486
2013-10,1868687,835418,45693,987576
2013-11,1897244,839935,45774,1011535
2013-12,1934594,870015,46101,1018478
2014-01,2004141,871198,46233,1086710
2014-02,2013223,854749,45994,1112480
2014-03,2085929,861177,45870,1178882
2014-04,2220795,860389,45936,1314470
2014-05,2243719,861273,46013,1336433
2014-06,2332465,856484,45950,1430031
2014-07,2431068,863217,45962,1521889
2014-08,2423138,864799,46025,1512314
2014-09,2458169,862960,46053,1549156
2014-10,2557542,865271,46085,1646186
2014-11,2593603,870990,46161,1676452
2014-12,2674016,901074,46430,1726512
2015-01,2753859,901357,46545,1805957
2015-02,2752617,886755,46378,1819484
2015-03,2821182,892520,46280,1882382
2015-04,3003275,895381,46292,2061602
2015-05,3043476,899665,46335,2097476
2015-06,3130770,896714,46270,2187786
2015-07,3228211,906796,46254,2275161
2015-08,3229269,910354,46302,2272613
2015-09,3321941,913980,46397,2361564
2015-10,3388877,917792,46488,2424597
2015-11,3437218,924879,46563,2465776
2015-12,3463793,955628,46790,2461375
2016-01,3551030,956932,46849,2547249
2016-02,3550415,944904,46694,2558817
2016-03,3626050,951906,46642,2627502
2016-04,3808364,956074,46706,2805584
2016-05,3818397,957942,46799,2813656
2016-06,3927119,951991,46732,2928396
2016-07,4024578,960075,46735,3017768
2016-08,4009981,962598,46808,3000575
2016-09,4075081,961605,46874,3066602
2016-10,4138966,964126,46917,3127923
2016-11,4176573,968657,47042,3160874
2016-12,4263922,998207,47307,3218408
2017-01,4352054,1000204,47363,3304487
2017-02,4309696,987652,47193,3274851
2017-03,4362634,994636,47121,3320877
2017-04,4562398,996652,47204,3518542
2017-05,4559954,999953,47319,3512682
2017-06,4594854,995829,47274,3551751
2017-07,4650692,1003958,47282,3599452
2017-08,4663075,1007793,47386,3607896
2017-09,4711205,1005588,47443,3658174
2017-10,4738791,1009036,47485,3682270
2017-11,4725834,1014718,47595,3663521
2017-12,4741265,1042023,47817,3651425
2018-01,4772595,1044482,47878,3680235
2018-02,4716382,1033046,47741,3635595
2018-03,4759328,1037590,47672,3674066
2018-04,4920203,1039157,47735,3833311
2018-05,4929691,1040264,47812,3841615
2018-06,4933638,1037681,47729,3848228
2018-07,4976398,1044800,47720,3883878
2018-08,4983868,1046482,47830,3889556
2018-09,4988216,1045699,47899,3894618
2018-10,5016198,1047072,47978,3921148
2018-11,5013302,1050606,48095,3914601
2018-12,4970034,1077249,48326,3844459
2019-01,4997797,1079375,48463,3869959
2019-02,4930980,1066271,48433,3816276
2019-03,4942027,1072160,48466,3821401
2019-04,5073520,1087111,48696,3937713
2019-05,5108086,1087770,48918,3971398
2019-06,5129912,1069431,48850,4011631
2019-07,5160145,1074323,48831,4036991
2019-08,5125110,1074413,48876,4001821
2019-09,5138266,1071112,48947,4018207
2019-10,5171008,1071156,49045,4050807
2019-11,5176305,1073738,49147,4053420
2019-12,5127767,1099548,49404,3978815
2020-01,5141329,1103450,49528,3988351
2020-02,5106311,1087886,49433,3968992
2020-03,5078486,1092464,49352,3936670
2020-04,5189225,1103642,49398,4036185
2020-05,5308787,1114011,49422,4145354
2020-06,5440233,1120466,49352,4270415
