Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2020-01-02,9039.46,9093.43,9010.89,9092.19,,,,
2020-01-03,8976.43,9065.76,8976.43,9020.77,,,,
2020-01-06,8943.5,9072.41,8943.5,9071.47,,,,
2020-01-07,9076.65,9091.93,9042.55,9068.58,,,,
2020-01-08,9068.03,9168.89,9059.38,9129.24,,,,
2020-01-09,9202.27,9215.95,9158.5,9203.43,,,,
2020-01-10,9232.94,9235.2,9164.66,9178.86,,,,
2020-01-13,9213.72,9274.49,9193.06,9273.93,,,,
2020-01-14,9270.61,9298.33,9226.49,9251.33,,,,
2020-01-15,9253.76,9298.82,9231.14,9258.69,,,,
2020-01-16,9313.44,9357.92,9301.32,9357.13,,,,
2020-01-17,9392.37,9393.48,9346.81,9388.94,,,,
2020-01-21,9361.07,9397.58,9350.2,9370.81,,,,
2020-01-22,9413.61,9439.29,9375.13,9383.77,,,,
2020-01-23,9377.72,9409.2,9334.13,9402.48,,,,
2020-01-24,9446.2,9451.43,9273.23,9314.91,,,,
2020-01-27,9092.46,9185.45,9088.04,9139.31,,,,
2020-01-28,9201.82,9288.87,9182.33,9269.68,,,,
2020-01-29,9318.26,9329.11,9249.04,9275.16,,,,
2020-01-30,9211.15,9303,9185.18,9298.93,,,,
2020-01-31,9324.33,9324.8,9123.22,9150.94,,,,
2020-02-03,9190.72,9299.85,9188.55,9273.4,,,,
2020-02-04,9398.39,9485.38,9374.05,9467.97,,,,
2020-02-05,9574.1,9574.93,9454.93,9508.68,,,,
2020-02-06,9540.98,9575.66,9505.68,9572.15,,,,
2020-02-07,9526.64,9570.09,9496.53,9520.51,,,,
2020-02-10,9493.63,9628.66,9493.63,9628.39,,,,
2020-02-11,9680.89,9714.74,9617.21,9638.94,,,,
2020-02-12,9688.6,9728.77,9666.68,9725.96,,,,
2020-02-13,9657.04,9748.32,9650.02,9711.97,,,,
2020-02-14,9728.9,9746.36,9693.05,9731.18,,,,
2020-02-18,9679.04,9747.68,9675.8,9732.74,,,,
2020-02-19,9782.81,9838.37,9777.1,9817.18,,,,
