Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,1313.8782,1313.8782,1313.8782,1313.8782,,,,
2026-06-15,1355.8916,1355.8916,1355.8916,1355.8916,,,,
2026-06-16,1354.7026,1354.7026,1354.7026,1354.7026,,,,
2026-06-17,1361.9538,1361.9538,1361.9538,1361.9538,,,,
2026-06-18,1378.9359,1378.9359,1378.9359,1378.9359,,,,
2026-06-19,1376.5784,1376.5784,1376.5784,1376.5784,,,,
2026-06-22,1391.4241,1391.4241,1391.4241,1391.4241,,,,
2026-06-23,1351.5037,1351.5037,1351.5037,1351.5037,,,,
2026-06-24,1343.5650,1343.5650,1343.5650,1343.5650,,,,
2026-06-25,1366.8194,1366.8194,1366.8194,1366.8194,,,,
2026-06-26,1344.4776,1344.4776,1344.4776,1344.4776,,,,
2026-06-29,1348.9049,1348.9049,1348.9049,1348.9049,,,,
2026-06-30,1348.3989,1348.3989,1348.3989,1348.3989,,,,
2026-07-01,1351.7690,1351.7690,1351.7690,1351.7690,,,,
2026-07-02,1348.8970,1348.8970,1348.8970,1348.8970,,,,
2026-07-03,1368.3793,1368.3793,1368.3793,1368.3793,,,,
2026-07-06,1379.3725,1379.3725,1379.3725,1379.3725,,,,
2026-07-07,1363.1372,1363.1372,1363.1372,1363.1372,,,,
