Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2023-01-04,4849.89,4849.89,4849.89,4849.89,,,,
2023-01-05,4939.03,4939.03,4939.03,4939.03,,,,
2023-01-06,5023,5023,5023,5023,,,,
2023-01-10,5131.74,5131.74,5131.74,5131.74,,,,
2023-01-11,5240.51,5240.51,5240.51,5240.51,,,,
2023-01-12,5275.13,5275.13,5275.13,5275.13,,,,
2023-01-13,5345.74,5345.74,5345.74,5345.74,,,,
2023-01-16,5268.49,5268.49,5268.49,5268.49,,,,
2023-01-17,5363.13,5363.13,5363.13,5363.13,,,,
2023-01-18,5449.84,5449.84,5449.84,5449.84,,,,
2023-01-19,5386.22,5386.22,5386.22,5386.22,,,,
2023-01-20,5387.83,5387.83,5387.83,5387.83,,,,
2023-01-23,5489.74,5489.74,5489.74,5489.74,,,,
2023-01-24,5594.78,5594.78,5594.78,5594.78,,,,
2023-01-25,5600.71,5600.71,5600.71,5600.71,,,,
2023-01-26,5548.93,5548.93,5548.93,5548.93,,,,
2023-01-27,5545.08,5545.08,5545.08,5545.08,,,,
2023-01-30,5581.87,5581.87,5581.87,5581.87,,,,
2023-01-31,5516.78,5516.78,5516.78,5516.78,,,,
2023-02-01,5496.76,5496.76,5496.76,5496.76,,,,
2023-02-02,5609.34,5609.34,5609.34,5609.34,,,,
2023-02-03,5633.06,5633.06,5633.06,5633.06,,,,
2023-02-06,5582.55,5582.55,5582.55,5582.55,,,,
2023-02-07,5637.54,5637.54,5637.54,5637.54,,,,
2023-02-08,5691.55,5691.55,5691.55,5691.55,,,,
2023-02-09,5649.63,5649.63,5649.63,5649.63,,,,
2023-02-10,5805.27,5805.27,5805.27,5805.27,,,,
2023-02-13,5681.45,5681.45,5681.45,5681.45,,,,
2023-02-14,5780.08,5780.08,5780.08,5780.08,,,,
2023-02-15,5785.82,5785.82,5785.82,5785.82,,,,
2023-02-16,5874.91,5874.91,5874.91,5874.91,,,,
2023-02-17,5741.92,5741.92,5741.92,5741.92,,,,
2023-02-20,5735.88,5735.88,5735.88,5735.88,,,,
2023-02-21,5711.56,5711.56,5711.56,5711.56,,,,
2023-02-22,5645.92,5645.92,5645.92,5645.92,,,,
2023-02-24,5869.57,5869.57,5869.57,5869.57,,,,
2023-02-27,5836,5836,5836,5836,,,,
