Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,1017.40,1017.40,1017.40,1017.40,,,,
2026-06-15,1054.05,1054.05,1054.05,1054.05,,,,
2026-06-16,1053.17,1053.17,1053.17,1053.17,,,,
2026-06-17,1058.89,1058.89,1058.89,1058.89,,,,
2026-06-18,1073.80,1073.80,1073.80,1073.80,,,,
2026-06-19,1072.46,1072.46,1072.46,1072.46,,,,
2026-06-22,1084.52,1084.52,1084.52,1084.52,,,,
2026-06-23,1049.74,1049.74,1049.74,1049.74,,,,
2026-06-24,1043.05,1043.05,1043.05,1043.05,,,,
2026-06-25,1062.82,1062.82,1062.82,1062.82,,,,
2026-06-26,1040.94,1040.94,1040.94,1040.94,,,,
2026-06-29,1043.34,1043.34,1043.34,1043.34,,,,
2026-06-30,1044.05,1044.05,1044.05,1044.05,,,,
2026-07-01,1047.45,1047.45,1047.45,1047.45,,,,
2026-07-02,1042.31,1042.31,1042.31,1042.31,,,,
2026-07-03,1057.19,1057.19,1057.19,1057.19,,,,
2026-07-06,1065.98,1065.98,1065.98,1065.98,,,,
2026-07-07,1052.01,1052.01,1052.01,1052.01,,,,
2026-07-08,1036.33,1036.33,1036.33,1036.33,,,,
2026-07-09,1042.89,1042.89,1042.89,1042.89,,,,
2026-07-10,1047.71,1047.71,1047.71,1047.71,,,,
2026-07-13,1035.36,1035.36,1035.36,1035.36,,,,
2026-07-14,1044.07,1044.07,1044.07,1044.07,,,,
2026-07-15,1056.49,1056.49,1056.49,1056.49,,,,
2026-07-16,1036.60,1036.60,1036.60,1036.60,,,,
2026-07-17,1004.46,1004.46,1004.46,1004.46,,,,
2026-07-21,1033.79,1033.79,1033.79,1033.79,,,,
2026-07-22,1039.03,1039.03,1039.03,1039.03,,,,
2026-07-23,1042.93,1042.93,1042.93,1042.93,,,,
2026-07-24,1027.88,1027.88,1027.88,1027.88,,,,
2026-07-27,1038.77,1038.77,1038.77,1038.77,,,,
2026-07-28,1009.86,1009.86,1009.86,1009.86,,,,
2026-07-29,1010.83,1010.83,1010.83,1010.83,,,,
2026-07-30,1005.79,1005.79,1005.79,1005.79,,,,
2026-07-31,1023.30,1023.30,1023.30,1023.30,,,,
